Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Non-volatile PM10 (Hourly measured),Status,Volatile PM10 (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Non-volatile PM2.5 (Hourly measured),Status,Volatile PM2.5 (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
04/01/2020,03:00:00,2.54279,P ugm-3,7.24697,P ugm-3,11.14587,P ugm-3,10.3,N ugm-3 (FIDAS),No data,,No data,,4.906,N ugm-3 (Ref.eq),No data,,No data,,266.1,N deg,5.8,N ms-1,7,N degC
04/01/2020,04:00:00,3.44404,P ugm-3,8.39148,P ugm-3,13.67227,P ugm-3,9.85,P ugm-3 (FIDAS),No data,,No data,,4.835,P ugm-3 (Ref.eq),No data,,No data,,268.4,N deg,6,N ms-1,7.3,N degC
04/01/2020,05:00:00,3.21873,P ugm-3,4.08046,P ugm-3,9.01577,P ugm-3,9.1,N ugm-3 (FIDAS),No data,,No data,,4.41,P ugm-3 (Ref.eq),No data,,No data,,274.8,N deg,6.4,N ms-1,7.6,N degC
04/01/2020,06:00:00,3.0256,P ugm-3,5.96177,P ugm-3,10.60096,P ugm-3,8.025,P ugm-3 (FIDAS),No data,,No data,,3.962,N ugm-3 (Ref.eq),No data,,No data,,265.3,N deg,6.2,N ms-1,6.9,N degC
04/01/2020,07:00:00,6.92026,P ugm-3,14.10814,P ugm-3,24.71906,P ugm-3,8.2,N ugm-3 (FIDAS),No data,,No data,,3.915,P ugm-3 (Ref.eq),No data,,No data,,267.5,N deg,5.9,N ms-1,6.8,N degC
04/01/2020,08:00:00,4.21653,P ugm-3,15.97509,P ugm-3,22.44035,P ugm-3,8.6,N ugm-3 (FIDAS),No data,,No data,,4.151,N ugm-3 (Ref.eq),No data,,No data,,267.8,N deg,5.3,N ms-1,6.6,N degC
04/01/2020,09:00:00,6.75933,P ugm-3,22.57808,P ugm-3,32.94223,P ugm-3,9.575,P ugm-3 (FIDAS),No data,,No data,,4.575,P ugm-3 (Ref.eq),No data,,No data,,260.1,N deg,4.6,N ms-1,6.5,N degC
04/01/2020,10:00:00,11.04023,P ugm-3,26.61507,P ugm-3,43.54319,P ugm-3,10.025,P ugm-3 (FIDAS),No data,,No data,,4.646,P ugm-3 (Ref.eq),No data,,No data,,264,N deg,5.5,N ms-1,7.3,N degC
04/01/2020,11:00:00,8.69056,P ugm-3,29.2271,P ugm-3,42.55245,P ugm-3,7.2,N ugm-3 (FIDAS),No data,,No data,,3.75,P ugm-3 (Ref.eq),No data,,No data,,261.4,N deg,4.7,N ms-1,7.3,N degC
04/01/2020,12:00:00,6.88808,P ugm-3,26.73994,P ugm-3,37.30151,P ugm-3,4.55,P ugm-3 (FIDAS),No data,,No data,,2.547,P ugm-3 (Ref.eq),No data,,No data,,260,N deg,5,N ms-1,7.5,N degC
04/01/2020,13:00:00,8.8515,P ugm-3,29.27756,P ugm-3,42.84967,P ugm-3,3.75,P ugm-3 (FIDAS),No data,,No data,,2.264,P ugm-3 (Ref.eq),No data,,No data,,258.8,N deg,4.9,N ms-1,7.6,N degC
04/01/2020,14:00:00,6.40527,P ugm-3,25.39967,P ugm-3,35.22094,P ugm-3,5.65,P ugm-3 (FIDAS),No data,,No data,,3.325,P ugm-3 (Ref.eq),No data,,No data,,255.7,N deg,4.6,N ms-1,7,N degC
04/01/2020,15:00:00,6.92026,P ugm-3,21.43964,P ugm-3,32.05056,P ugm-3,8.05,P ugm-3 (FIDAS),No data,,No data,,4.528,N ugm-3 (Ref.eq),No data,,No data,,243.8,N deg,4.7,N ms-1,7.1,N degC
04/01/2020,16:00:00,7.01683,P ugm-3,24.01613,P ugm-3,34.77511,P ugm-3,7.85,P ugm-3 (FIDAS),No data,,No data,,4.34,N ugm-3 (Ref.eq),No data,,No data,,241.4,N deg,4.9,N ms-1,7.4,N degC
04/01/2020,17:00:00,7.01683,P ugm-3,23.07492,P ugm-3,33.8339,P ugm-3,6.35,P ugm-3 (FIDAS),No data,,No data,,3.679,P ugm-3 (Ref.eq),No data,,No data,,239.1,N deg,5.2,N ms-1,7.4,N degC
04/01/2020,18:00:00,7.49963,P ugm-3,19.21378,P ugm-3,30.71306,P ugm-3,7.2,N ugm-3 (FIDAS),No data,,No data,,4.198,P ugm-3 (Ref.eq),No data,,No data,,235.5,N deg,5.4,N ms-1,7.5,N degC
04/01/2020,19:00:00,6.40527,P ugm-3,18.61308,P ugm-3,28.43435,P ugm-3,7.625,P ugm-3 (FIDAS),No data,,No data,,4.505,P ugm-3 (Ref.eq),No data,,No data,,238.6,N deg,5.8,N ms-1,7.4,N degC
04/01/2020,20:00:00,6.69495,P ugm-3,19.45687,P ugm-3,29.72232,P ugm-3,7.225,P ugm-3 (FIDAS),No data,,No data,,4.505,P ugm-3 (Ref.eq),No data,,No data,,231.4,N deg,5.9,N ms-1,7.2,N degC
04/01/2020,21:00:00,4.76372,P ugm-3,15.82961,P ugm-3,23.13387,P ugm-3,8.575,P ugm-3 (FIDAS),No data,,No data,,5.825,P ugm-3 (Ref.eq),No data,,No data,,232.5,N deg,6,N ms-1,7.2,N degC
04/01/2020,22:00:00,3.41185,P ugm-3,12.00751,P ugm-3,17.23894,P ugm-3,8.175,P ugm-3 (FIDAS),No data,,No data,,5.684,P ugm-3 (Ref.eq),No data,,No data,,234.7,N deg,6.1,N ms-1,7.3,N degC
04/01/2020,23:00:00,2.99342,P ugm-3,10.76669,P ugm-3,15.35653,P ugm-3,7.575,P ugm-3 (FIDAS),No data,,No data,,5.613,P ugm-3 (Ref.eq),No data,,No data,,239.5,N deg,6.5,N ms-1,7.3,N degC
04/01/2020,24:00:00,3.5406,P ugm-3,8.98648,P ugm-3,14.41532,P ugm-3,7.25,P ugm-3 (FIDAS),No data,,No data,,5.165,P ugm-3 (Ref.eq),No data,,No data,,244.6,N deg,6.9,N ms-1,7.1,N degC
05/01/2020,01:00:00,4.38108,P ugm-3,10.91911,P ugm-3,17.63668,P ugm-3,7.075,P ugm-3 (FIDAS),No data,,No data,,4.882,P ugm-3 (Ref.eq),No data,,No data,,No data,,No data,,No data,
